Company,Year,Value
Tesco PLC,2023,Unknown
Inditex,2023,21606
Esprit Holdings Limited,2023,2280.9
Marks and Spencer Group plc,2023,69000
Puma,2023,5595
Hermes International,2023,16340
Christian Dior,2023,125095
L Brands,2023,103450
Seven & I Holdings,2023,58014
Swatch Group,2023,9231
Foot Locker Inc.,2023,7470
Abercrombie & Fitch,2023,Unknown
Prada,2023,2275
Gildan Activewear Inc.,2023,67000
Asics Corporation,2023,2461
Moncler,2023,1809.6
Lojas Renner S.A.,2023,6034.36
DSW Inc.,2023,Unknown
Salvatore Ferragamo SpA,2023,711.13
Burlington Stores Inc,2023,133956
Buckle Inc,2023,Unknown
Ulta Beauty Inc.,2023,87257
Capri Holdings Ltd (formerly Michael Kors),2023,Unknown
TOD'S,2023,2770.80
Brunello Cucinelli,2023,547.58
Aditya Birla Fashion & Retail Ltd,2023,5555
Van de Velde,2023,Unknown
Onward Holdings,2023,Unknown
Bosideng International Holdings Limited,2023,9623.68
Canada Goose,2023,Unknown
Anta Sports Products,2023,11940.1
Adidas AG,2023,26382
Fast Retailing,2023,54522
H&M,2023,Unknown
Tesco PLC,2022,Unknown
Inditex,2022,20632.28
Gap inc.,2022,Unknown
Starbucks Corporation,2022,1236000
Esprit Holdings Limited,2022,Unknown
Marks and Spencer Group plc,2022,78474
Puma,2022,4527
Best Buy Co. Inc.,2022,56699
Target,2022,Unknown
L'Occitane,2022,2908
Hermes International,2022,14336
Christian Dior,2022,118332
Chow Tai Fook,2022,854
Dick's Sporting Goods,2022,60953
Richemont,2022,20015
Nordstrom,2022,Unknown
Seven & I Holdings,2022,60586
Ross Stores,2022,Unknown
Foot Locker Inc.,2022,5344
Abercrombie & Fitch,2022,Unknown
Prada,2022,2037
Macy's,2022,28047
Asics Corporation,2022,1674
"Dillard's, Inc.",2022,Unknown
Tiffany & Co.,2022,Unknown
American Eagle Outfitters,2022,29000
Lojas Renner S.A.,2022,Unknown
Otto Group,2022,113054
TJX Companies,2022,34700
lululemon athletica,2022,2079
New Look Retail Group,2022,288
CHS Inc.,2022,Unknown
Zalando SE,2022,32528
Salvatore Ferragamo SpA,2022,731.8
Geox SpA,2022,Unknown
Vipshop Holdings,2022,57673.2
Burlington Stores Inc,2022,106571.527
Chico's FAS Inc,2022,110444.48
Children's Place Inc,2022,45179
El Corte Ingles S.A.,2022,56086
Buckle Inc,2022,Unknown
WEYCO GROUP INC,2022,Unknown
DULUTH HOLDINGS INC.,2022,3806
Ulta Beauty Inc.,2022,73779
Mulberry Group Plc,2022,Unknown
Boohoo.com,2022,99
Aditya Birla Fashion & Retail Ltd,2022,3736
United Arrows,2022,Unknown
Onward Holdings,2022,0
Bosideng International Holdings Limited,2022,10872.9
Canada Goose,2022,Unknown
Anta Sports Products,2022,1255.4
Fast Retailing,2022,241873
Superdry plc,2022,Unknown
Hanesbrands,2022,Unknown
H&M,2022,Unknown
Hugo Boss AG,2022,8161
Tesco PLC,2021,84124
Inditex,2021,20397.42
Primark,2021,571000
Gap inc.,2021,20857
Starbucks Corporation,2021,1183000
Esprit Holdings Limited,2021,Unknown
Marks and Spencer Group plc,2021,59053
Lidl Stiftung & Co. KG,2021,Unknown
"Amazon.com, Inc.",2021,Unknown
L'Occitane,2021,3206
