# https://wikirate.org/Answer.csv?filter%5Bcompany%5D%5B%5D=~5590&filter%5Bcompany%5D%5B%5D=~5301&filter%5Bcompany%5D%5B%5D=~8979&filter%5Bcompany%5D%5B%5D=~7217&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bcompany_keyword%5D=&filter%5Bmetric_keyword%5D=&filter%5Bstatus%5D=exists&filter%5Btopic%5D%5B%5D=Waste+Management&filter%5Bvalue%5D=&filter%5Byear%5D%5B%5D=2024&filter%5Byear%5D%5B%5D=2023&filter%5Byear%5D%5B%5D=2022,,,,,
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide.",,,,,
# 2024-12-06 15:37:14 UTC,,,,,
#,,,,,
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~20246258,"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",Inditex,2023,34.488,https://wikirate.org/~18085986
https://wikirate.org/~19245458,"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",H&M,2023,Unknown,https://wikirate.org/~19244996
https://wikirate.org/~18083336,"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",Adidas AG,2023,Unknown,https://wikirate.org/~18074968
https://wikirate.org/~20246262,"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",Inditex,2023,51.648,https://wikirate.org/~18085986
https://wikirate.org/~19245462,"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",H&M,2023,Unknown,https://wikirate.org/~19244996
https://wikirate.org/~18083340,"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",Adidas AG,2023,Unknown,https://wikirate.org/~18074968
https://wikirate.org/~18086335,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Inditex,2023,21606,https://wikirate.org/~18085986
https://wikirate.org/~18084064,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",H&M,2023,Unknown,https://wikirate.org/~19244996
https://wikirate.org/~18083348,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Adidas AG,2023,26382,https://wikirate.org/~18074968
https://wikirate.org/~20246304,"Global Reporting Initiative+Non-Hazardous Waste, GRI 306-2 (formerly G4-EN23-a)",Inditex,2023,21554.360,https://wikirate.org/~18085986
