Company,Year,Value,Source Page
Puma,2023,5595,https://wikirate.org/~18046254
H&M,2023,Unknown,https://wikirate.org/~19244996
Marks and Spencer Group plc,2023,69000,https://wikirate.org/~18045616
Asos,2023,Unknown,https://wikirate.org/~18087425
Adidas AG,2023,26382,https://wikirate.org/~18074968
Nike Inc.,2023,236984,https://wikirate.org/~18082680
Burberry Group plc,2023,Unknown,https://wikirate.org/~18084773
Inditex,2023,21606,https://wikirate.org/~18085986
Tapestry Inc,2023,Unknown,https://wikirate.org/~19514711
Guess? Inc,2023,102,https://wikirate.org/~18086297
Ralph Lauren Corporation,2023,10724,https://wikirate.org/~18082539
Prada,2023,2275,https://wikirate.org/~19859227
Esprit Holdings Limited,2023,2280.9,https://wikirate.org/~19871283
Next PLC,2023,34013,https://wikirate.org/~18037330
Moncler,2023,1809.6,https://wikirate.org/~19564366
Salvatore Ferragamo SpA,2023,711.13,https://wikirate.org/~19866985
Asics Corporation,2023,2461,https://wikirate.org/~19866602
Fast Retailing,2023,54522,https://wikirate.org/~18083617
Gildan Activewear Inc.,2023,67000,https://wikirate.org/~14548545
Foot Locker Inc.,2023,7470,https://wikirate.org/~19857390
JD Sports Fashion plc,2023,Unknown,https://wikirate.org/~20244874
Hermes International,2023,16340,https://wikirate.org/~18085711
TOD'S,2023,2770.80,https://wikirate.org/~19465592
Kering,2023,18945,https://wikirate.org/~20294256
Li-Ning,2023,831.75,https://wikirate.org/~20291325
Sports Direct,2023,Unknown,https://wikirate.org/~18084191
Anta Sports Products,2023,11940.1,https://wikirate.org/~20258980
Abercrombie & Fitch,2023,Unknown,https://wikirate.org/~18084826
Bosideng International Holdings Limited,2023,9623.68,https://wikirate.org/~20271162
DSW Inc.,2023,Unknown,https://wikirate.org/~18035242
Lojas Renner S.A.,2023,6034.36,https://wikirate.org/~20293940
Deckers Outdoor Corporation,2023,209,https://wikirate.org/~18078571
Burlington Stores Inc,2023,133956,https://wikirate.org/~20244436
Buckle Inc,2023,Unknown,https://wikirate.org/~18083746
Christian Dior,2023,125095,https://wikirate.org/~20293136
Capri Holdings Ltd (formerly Michael Kors),2023,Unknown,https://wikirate.org/~18035418
L Brands,2023,103450,https://wikirate.org/~19381396
Brunello Cucinelli,2023,547.58,https://wikirate.org/~20264452
Canada Goose,2023,Unknown,https://wikirate.org/~20263588
Van de Velde,2023,Unknown,https://wikirate.org/~19678442
Arvind Limited,2023,27878.78,https://wikirate.org/~19381386
Carter's Inc,2023,28868,https://wikirate.org/~19577571
Vera Bradley Inc.,2023,Unknown,https://wikirate.org/~19375633
Swatch Group,2023,9231,https://wikirate.org/~19247682
Aditya Birla Fashion & Retail Ltd,2023,5555,https://wikirate.org/~15696802
Onward Holdings,2023,Unknown,https://wikirate.org/~18085002
Carrefour S.A.,2023,671,https://wikirate.org/~19862670
Tesco PLC,2023,Unknown,https://wikirate.org/~19983411
Puma,2022,4527,https://wikirate.org/~15553292
H&M,2022,Unknown,https://wikirate.org/~15076047
Gap inc.,2022,Unknown,https://wikirate.org/~13651292
Marks and Spencer Group plc,2022,78474,https://wikirate.org/~13727504
Asos,2022,Unknown,https://wikirate.org/~14549759
Burberry Group plc,2022,Unknown,https://wikirate.org/~13758186
Louis Vuitton Malletier SA (LVMH),2022,118330,https://wikirate.org/~15560780
Inditex,2022,20632.28,https://wikirate.org/~15087738
Zalando SE,2022,32528,https://wikirate.org/~15087494
Tiffany & Co.,2022,Unknown,https://wikirate.org/~7626138
Hugo Boss AG,2022,8161,https://wikirate.org/~18037865
Nordstrom,2022,Unknown,https://wikirate.org/~18045275
Ralph Lauren Corporation,2022,8271,https://wikirate.org/~13015908
Prada,2022,2037,https://wikirate.org/~15578121
Esprit Holdings Limited,2022,Unknown,https://wikirate.org/~15550662
American Eagle Outfitters,2022,29000,https://wikirate.org/~18087402
Under Armour,2022,Unknown,https://wikirate.org/~19574626
Next PLC,2022,31292,https://wikirate.org/~14549843
PVH,2022,Unknown,https://wikirate.org/~19855349
Macy's,2022,28047,https://wikirate.org/~18043691
Salvatore Ferragamo SpA,2022,731.8,https://wikirate.org/~18074105
Asics Corporation,2022,1674,https://wikirate.org/~18081897
Columbia Sportswear,2022,Unknown,https://wikirate.org/~18038086
VF,2022,19989,https://wikirate.org/~20292468
Fast Retailing,2022,241873,https://wikirate.org/~14547965
TJX Companies,2022,34700,https://wikirate.org/~19855736
Skechers USA Inc,2022,Unknown,https://wikirate.org/~18086263
Foot Locker Inc.,2022,5344,https://wikirate.org/~18082586
JD Sports Fashion plc,2022,Unknown,https://wikirate.org/~13688244
Ross Stores,2022,Unknown,https://wikirate.org/~18086197
Hermes International,2022,14336,https://wikirate.org/~15558321
"Dillard's, Inc.",2022,Unknown,https://wikirate.org/~18045057
Li-Ning,2022,712.140021,https://wikirate.org/~18035355
Chico's FAS Inc,2022,110444.48,https://wikirate.org/~15062726
Anta Sports Products,2022,1255.4,https://wikirate.org/~18083845
Abercrombie & Fitch,2022,Unknown,https://wikirate.org/~14549453
Bosideng International Holdings Limited,2022,10872.9,https://wikirate.org/~18829795
Lojas Renner S.A.,2022,Unknown,https://wikirate.org/~15377299
Dick's Sporting Goods,2022,60953,https://wikirate.org/~18084705
Hanesbrands,2022,Unknown,https://wikirate.org/~18082866
Deckers Outdoor Corporation,2022,5421.25,https://wikirate.org/~14550162
Burlington Stores Inc,2022,106571.527,https://wikirate.org/~18045179
lululemon athletica,2022,2079,https://wikirate.org/~18085089
Boohoo.com,2022,99,https://wikirate.org/~18084760
Buckle Inc,2022,Unknown,https://wikirate.org/~18083802
Ted Baker,2022,Unknown,https://wikirate.org/~13669763
Christian Dior,2022,118332,https://wikirate.org/~18086824
Richemont,2022,20015,https://wikirate.org/~14544829
Superdry plc,2022,Unknown,https://wikirate.org/~19582828
Children's Place Inc,2022,45179,https://wikirate.org/~18082104
United Arrows,2022,Unknown,https://wikirate.org/~19677863
Canada Goose,2022,Unknown,https://wikirate.org/~14545873
Wolverine World Wide,2022,Unknown,https://wikirate.org/~19443641
Arvind Limited,2022,26421.58,https://wikirate.org/~14556511
Chow Tai Fook,2022,854,https://wikirate.org/~14547756
Vipshop Holdings,2022,57673.2,https://wikirate.org/~19264485
Geox SpA,2022,Unknown,https://wikirate.org/~14545696
Mulberry Group Plc,2022,Unknown,https://wikirate.org/~13667116
Grendene,2022,24089,https://wikirate.org/~18085900
Aditya Birla Fashion & Retail Ltd,2022,3736,https://wikirate.org/~14549540
Onward Holdings,2022,0,https://wikirate.org/~14549405
Target,2022,Unknown,https://wikirate.org/~13952299
Carrefour S.A.,2022,587000,https://wikirate.org/~15532854
"MANGO (Punto Fa, S.L.)",2022,4506.05,https://wikirate.org/~15544310
New Look Retail Group,2022,288,https://wikirate.org/~13691220
Kohl's,2022,137008,https://wikirate.org/~15620391
Otto Group,2022,113054,https://wikirate.org/~18030641
Gucci,2022,Unknown,https://wikirate.org/~15519620
El Corte Ingles S.A.,2022,56086,https://wikirate.org/~15533420
Chanel SA,2022,Unknown,https://wikirate.org/~15571448
Tesco PLC,2022,Unknown,https://wikirate.org/~15566002
Vaude,2022,Unknown,https://wikirate.org/~15622766
H&M,2021,Unknown,https://wikirate.org/~14550336
Gap inc.,2021,20857,https://wikirate.org/~12136485
Marks and Spencer Group plc,2021,59053,https://wikirate.org/~12178497
Asos,2021,Unknown,https://wikirate.org/~15578342
Nike Inc.,2021,Unknown,https://wikirate.org/~13680832
Louis Vuitton Malletier SA (LVMH),2021,113580,https://wikirate.org/~14545917
Inditex,2021,20397.42,https://wikirate.org/~13011717
Tapestry Inc,2021,4079,https://wikirate.org/~13656166
Zalando SE,2021,680000,https://wikirate.org/~14549578
Guess? Inc,2021,1093,https://wikirate.org/~7625647
Tiffany & Co.,2021,Unknown,https://wikirate.org/~14314919
Hugo Boss AG,2021,61715.28,https://wikirate.org/~14551775
Nordstrom,2021,Unknown,https://wikirate.org/~13669803
Prada,2021,2210,https://wikirate.org/~15571510
Esprit Holdings Limited,2021,Unknown,https://wikirate.org/~14552568
American Eagle Outfitters,2021,Unknown,https://wikirate.org/~13657555
Next PLC,2021,21753,https://wikirate.org/~15578179
PVH,2021,Unknown,https://wikirate.org/~13744700
Macy's,2021,Unknown,https://wikirate.org/~13671447
Moncler,2021,1081.5,https://wikirate.org/~18025056
Salvatore Ferragamo SpA,2021,812.9,https://wikirate.org/~14549280
Asics Corporation,2021,1674,https://wikirate.org/~14544734
Columbia Sportswear,2021,Unknown,https://wikirate.org/~13670417
TJX Companies,2021,216684,https://wikirate.org/~13741283
Urban Outfitters,2021,377,https://wikirate.org/~13657631
