Metric,Company,Year,Value,Source Page
"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",Inditex,2023,34.488,https://wikirate.org/~18085986
"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",H&M,2023,Unknown,https://wikirate.org/~19244996
"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",Nike Inc.,2023,Unknown,https://wikirate.org/~18082680
"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",Adidas AG,2023,Unknown,https://wikirate.org/~18074968
"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",Prada,2023,1,https://wikirate.org/~19859227
"Global Reporting Initiative+Hazardous Waste Recycled, GRI 306-2-a (formerly G4-EN23-a)",Asos,2023,Unknown,https://wikirate.org/~18087425
"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",Inditex,2023,51.648,https://wikirate.org/~18085986
"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",H&M,2023,Unknown,https://wikirate.org/~19244996
"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",Nike Inc.,2023,14509,https://wikirate.org/~18082680
"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",Adidas AG,2023,Unknown,https://wikirate.org/~18074968
"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",Prada,2023,33,https://wikirate.org/~19859227
"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",Asos,2023,Unknown,https://wikirate.org/~18087425
"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Inditex,2023,21606,https://wikirate.org/~18085986
"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",H&M,2023,Unknown,https://wikirate.org/~19244996
"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Nike Inc.,2023,236984,https://wikirate.org/~18082680
"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Adidas AG,2023,26382,https://wikirate.org/~18074968
"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Prada,2023,2275,https://wikirate.org/~19859227
