Entity,Code,Year,Transportation,Road marking,Packaging,Marine coatings,Building and construction,Electronics,Textile sector,Personal care products,Other,Industrial machinery,Consumer and institutional products
World,OWID_WRL,1990,16924000,195000,39820000,163000,21872000,5251000,11637000,7000,19433000,817000,13770000
World,OWID_WRL,1991,17601000,203000,41350000,169000,22684000,5444000,12129000,7000,20160000,846000,14277000
World,OWID_WRL,1992,18766000,215000,44021000,180000,24119000,5787000,12959000,8000.0005,21440000,898000,15177000
World,OWID_WRL,1993,19597000,224000,45901000,187000,25116000,6024000,13560000,8000.0005,22333000,934000,15801000
World,OWID_WRL,1994,21564000,246000,50433000,205000,27558000,6608000,14951000,9000,24513000,1024000.06,17336000
World,OWID_WRL,1995,22447000,256000.02,52424000,213000,28606000,6858000,15596000,9000,25454000,1062000,17993000
World,OWID_WRL,1996,24129000,274000,56273000,228000,30661000,7349000,16799000,10000,27294000,1136000,19286000
World,OWID_WRL,1997,25982000,295000,60512000,245000,32922000,7890000,18125000,11000,29319000,1219000,20708000
World,OWID_WRL,1998,27231000,308000,63337000,257000,34405000,8245000,19034000,11000,30655000,1272000,21642000
World,OWID_WRL,1999,29353000,331000,68182000,276000,36978000,8861000,20558000,12000,32965000,1365000,23263000
World,OWID_WRL,2000,30967000,349000,71837000,290000,38897000,9321000,21731000,13000,34694000,1434000,24474000
World,OWID_WRL,2001,31795000,357000,73664000,297000,39820000,9542000,22355000,13000,35538000,1466000,25060000
World,OWID_WRL,2002,33908000,380000,78464000,316000,42341000,10147000,23887000,14000,37812000,1557000,26654000
World,OWID_WRL,2003,35399000,396000,81814000,329000,44072000,10562000,24985000,15000,39383000,1618000,27751000
World,OWID_WRL,2004,37737000,421000,87116000,350000,46843000,11228000,26686000,16000.001,41888000,1717000,29506000
World,OWID_WRL,2005,38894000,433000,89684000,360000,48135000,11540000,27556000,17000,43074000,1762000,30332000
World,OWID_WRL,2006,41443000,460000,95452000,383000,51134000,12262000,29417000,18000,45793000,1869000,32236000
World,OWID_WRL,2007,43860000,486000,100909000,404000,53952000,12941000,31191000,19000,48356000,1969000,34029000
World,OWID_WRL,2008,41886000,463000,96262000,385000,51366000,12324000,29842000,18000,46076000,1872000,32415000
World,OWID_WRL,2009,43050000,475000,98835000,395000,52633000,12633000,30729000,19000,47253000,1915000,33233002
World,OWID_WRL,2010,46863000,515000,107333000,429000,57087000,13699000,33580000,21000,51246000,2066999.9,36041000
World,OWID_WRL,2011,48897000,536000,111730000,446000,59350000,14240000,35171000,22000,53273000,2139000,37465000
World,OWID_WRL,2012,50890000,556000,116018000,463000,61545000,14766000,36743000,23000,55242000,2207000,38849000
World,OWID_WRL,2013,53214000,579000,121045000,483000,64123000,15383000,38564000,24000,57555000,2288000,40476000
World,OWID_WRL,2014,54310000,589000,123263000,492000,65204004,15643000,39503000,24000,58528000,2315000,41161000
World,OWID_WRL,2015,55330000,600000,128013000,500000,66882004,15942000,40518000,25000,60280000,2427000,42235000
World,OWID_WRL,2016,56049000,607000,130901990,501999.97,68234000,15903000,41251000,26000,61139000,2419000,42938000
World,OWID_WRL,2017,57734000,630000,134632000,509000,71105000,16264000,42036000,26000,62728000,2495000,44026000
World,OWID_WRL,2018,60075000,657000,138448000,524000,74301000,16815000,42869000,27000,64575996,2599000,45307000
World,OWID_WRL,2019,62165000,682000,142598990,541000,76893000,17305000,43875000,27000,66315004,2683000,46662000
